Pk,Player,Tm
1.0,Zaccharie Risacher,ATL
2.0,Alex Sarr,WAS
3.0,Reed Sheppard,HOU
4.0,Stephon Castle,SAS
5.0,Ron Holland,DET
6.0,Tidjane SalaÃ¼n,CHO
7.0,Donovan Clingan,POR
8.0,Rob Dillingham,SAS
9.0,Zach Edey,MEM
10.0,Cody Williams,UTA
11.0,Matas Buzelis,CHI
12.0,Nikola TopiÄ,OKC
13.0,Devin Carter,SAC
14.0,Bub Carrington,POR
15.0,Kel'el Ware,MIA
16.0,Jared McCain,PHI
17.0,Dalton Knecht,LAL
18.0,Tristan Da Silva,ORL
19.0,Ja'Kobe Walter,TOR
20.0,Jaylon Tyson,CLE
21.0,Yves Missi,NOP
22.0,DaRon Holmes,PHO
23.0,AJ Johnson,MIL
24.0,Kyshawn George,NYK
25.0,Pacome Dadiet,NYK
26.0,Dillon Jones,WAS
27.0,Terrence Shannon Jr.,MIN
28.0,Ryan Dunn,DEN
29.0,Isaiah Collier,UTA
30.0,Baylor Scheierman,BOS
31.0,Jonathan Mogbo,TOR
32.0,Kyle Filipowski,UTA
33.0,Tyler Smith,MIL
34.0,Tyler Kolek,POR
35.0,Johnny Furphy,SAS
36.0,Juan Nunez,IND
37.0,Bobi Klintman,MIN
38.0,Ajay Mitchell,NYK
39.0,Jaylen Wells,MEM
40.0,Oso Ighodaro,POR
41.0,Adem Bona,PHI
42.0,KJ Simpson,CHO
43.0,Nikola Djurisic,MIA
44.0,Pelle Larsson,HOU
45.0,Jamal Shead,SAC
46.0,Cam Christie,LAC
47.0,Antonio Reeves,ORL
48.0,Harrison Ingram,SAS
49.0,Tristen Newton,IND
50.0,Enrique Freeman,IND
51.0,Melvin AjinÃ§a,NYK
52.0,Quinten Post,GSW
53.0,Cam Spencer,DET
54.0,Anton Watson,BOS
55.0,Bronny James,LAL
56.0,Kevin McCullar Jr.,PHO
57.0,Ulrich Chomche,MEM
58.0,Ariel Hukporti,DAL
59.0,,PHI
60.0,,PHO
